# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2431
#@/user_id	5b754ccd-decf-4aa1-80f7-2bdb3ab9e58b
a 	啊	c=8 d=1.91803 t=2431
chuo 	戳	c=1 d=1 t=1918
ci ku 	詞庫	c=2 d=0.951229 t=2431
cong 	從	c=7 d=0.388648 t=2431
cong er 	從而	c=2 d=0.474331 t=2431
da 	大	c=2 d=0.640824 t=2431
da 	打	c=4 d=0.0579269 t=2431
da bu 	打不	c=0 d=0.000719046 t=2431
da bu da 	打不打	c=1 d=0.0072265 t=2431
da bu tong 	打不通	c=1 d=1 t=1561
da cuo 	打錯	c=0 d=0.1 t=1875
da cuo le 	打錯了	c=1 d=1 t=1876
da dao 	達到	c=1 d=1 t=2275
da dian hua 	打電話	c=4 d=0.0136833 t=2431
da gai 	大概	c=1 d=1 t=1802
da hai zi 	大孩子	c=1 d=1 t=2412
da hui 	大會	c=1 d=0.000907334 t=2431
da ma 	打碼	c=2 d=1.9802 t=1706
da ming 	大明	c=0 d=0.1 t=2420
da ming gong ci 	大明宮詞	c=1 d=1 t=2421
da nao 	大腦	c=2 d=0.0179341 t=2431
da suan 	打算	c=0 d=0.1 t=1760
da xiao 	大小	c=1 d=0.32628 t=2431
da yin 	打印	c=2 d=0.00145368 t=2431
da yin ji 	打印機	c=1 d=0.000662162 t=2431
da zhi 	大致	c=1 d=0.140156 t=2431
dai biao 	代表	c=1 d=0.119433 t=2431
dai you 	帶有	c=1 d=0.0202419 t=2431
dan ci 	單詞	c=3 d=0.0361366 t=2431
dan shi 	但是	c=6 d=0.217856 t=2431
dang nian 	當年	c=1 d=0.0261214 t=2431
dang ran 	當然	c=2 d=0.463013 t=2431
dang shi 	當時	c=3 d=0.0468035 t=2431
dao 	到	c=6 d=0.889554 t=2431
dao le 	到了	c=4 d=0.835401 t=2431
dao li 	道理	c=2 d=0.2786 t=2431
dao zhi 	導致	c=2 d=0.0922455 t=2431
de 	地	c=1 d=0.254107 t=2431
de 	的	c=160 d=12.5294 t=2431
di 	第	c=1 d=0.00108086 t=2431
di fang 	地方	c=1 d=1 t=1988
di qiu 	地球	c=6 d=0.00676223 t=2431
di yi jie 	第一屆	c=1 d=0.000893825 t=2431
dian 	店	c=1 d=0.71177 t=2431
dian zan 	點讚	c=1 d=0.99005 t=2431
dian zi 	電子	c=1 d=0.0792617 t=2431
ding bu 	頂部	c=1 d=1 t=1825
dong 	動	c=3 d=0.410297 t=2431
dong 	懂	c=1 d=0.0123389 t=2431
dong li 	動力	c=1 d=1 t=2189
dong wu 	動物	c=0 d=0.000547917 t=2431
dong wu mei 	動物沒	c=1 d=0.00278085 t=2431
dong wu shi jie 	動物世界	c=1 d=0.00272578 t=2431
dong xi 	東西	c=5 d=0.118092 t=2431
dou 	都	c=4 d=0.12729 t=2431
dou shi 	都是	c=4 d=1.58272 t=2431
du 	度	c=1 d=0.0359725 t=2431
du guo 	讀過	c=1 d=1 t=2259
du zi 	肚子	c=1 d=1 t=1939
duan zi 	段子	c=1 d=1 t=1841
dui bu shang 	對不上	c=1 d=1 t=1869
dui chen 	對稱	c=1 d=0.25284 t=2431
dui lian 	對聯	c=1 d=1 t=1871
dui wo 	對我	c=1 d=0.00308872 t=2431
dui ying 	對應	c=6 d=1.28726 t=2431
dui yu 	對於	c=1 d=0.0327124 t=2431
duo 	多	c=2 d=0.0328994 t=2431
duo da 	多大	c=1 d=1 t=1665
duo nian 	多年	c=2 d=0.0750343 t=2431
duo xiao shi 	多小時	c=0 d=0.00987662 t=2431
e 	鵝	c=4 d=3.97017 t=2298
e le 	額了	c=1 d=0.00216573 t=2431
e le 	餓了	c=2 d=0.00459412 t=2431
en ai 	恩愛	c=0 d=0.1 t=1769
en en 	嗯嗯	c=17 d=2.01766 t=2431
en en hao ne 	嗯嗯好呢	c=2 d=0.260561 t=2431
er 	而	c=2 d=0.344745 t=2431
er qie 	而且	c=1 d=0.293758 t=2431
fa 	發	c=1 d=0.88692 t=2431
fa dou 	發抖	c=1 d=0.612626 t=2431
fa sheng 	發生	c=1 d=0.00447164 t=2431
fa xian 	發現	c=1 d=0.0195797 t=2431
fa zhan 	發展	c=2 d=0.765036 t=2431
fan 	飯	c=1 d=0.00680566 t=2431
fan xin 	翻新	c=3 d=0.0040016 t=2431
fan zheng 	反正	c=1 d=0.079659 t=2431
fang 	放	c=3 d=0.433346 t=2431
fang cheng 	方程	c=2 d=0.585669 t=2431
fang da 	放大	c=3 d=1.22923 t=2431
fang dao 	放到	c=1 d=0.143704 t=2431
fang fa 	方法	c=2 d=0.285173 t=2431
fang jian 	房間	c=1 d=0.000706632 t=2431
fang jian 	防濺	c=1 d=0.0139818 t=2431
fang xia lai 	放下來	c=1 d=0.00265848 t=2431
fang xiang 	方向	c=2 d=0.763636 t=2431
fang zai 	放在	c=1 d=0.0934807 t=2431
fei chang 	非常	c=2 d=0.00270995 t=2431
fen bie 	分別	c=1 d=0.08291 t=2431
fen bu qing 	分不清	c=1 d=1 t=2143
fen ge 	分割	c=2 d=0.501979 t=2431
fen hong se 	粉紅色	c=2 d=1.2914 t=2431
fen xi 	分析	c=1 d=0.0214936 t=2431
fen zhong 	分鐘	c=1 d=1 t=1531
fu dai 	附帶	c=1 d=0.000769323 t=2431
fu gu 	復古	c=1 d=0.000699601 t=2431
fu shui 	浮水	c=1 d=1 t=2305
fu shui 	覆水	c=1 d=1 t=2321
fu za du 	複雜度	c=1 d=1 t=2175
gai 	改	c=1 d=1 t=1515
gai le 	改了	c=2 d=1.73712 t=1569
gai lv 	概率	c=1 d=0.193013 t=2431
gai ming 	改名	c=1 d=0.0295994 t=2431
gai wan 	改完	c=1 d=1 t=1511
gan jue 	感覺	c=15 d=2.65385 t=2431
gan ma 	幹嘛	c=1 d=1 t=1617
gan xing qu 	感興趣	c=1 d=0.0115624 t=2431
gang gang 	剛剛	c=4 d=0.511824 t=2431
gao 	高	c=0 d=0.000440507 t=2431
gao hong yi 	高紅移	c=1 d=0.00442715 t=2431
gao xiao 	搞笑	c=2 d=0.0542235 t=2431
gao xiao 	高校	c=1 d=0.00196945 t=2431
ge zhong 	各種	c=2 d=0.0159732 t=2431
gei 	給	c=1 d=0.00831246 t=2431
gen 	跟	c=3 d=0.376071 t=2431
gen ni 	跟你	c=2 d=0.0149842 t=2431
geng 	更	c=0 d=0.00898153 t=2431
geng da 	更大	c=1 d=0.416862 t=2431
geng hao kan 	更好看	c=1 d=0.0902655 t=2431
geng jia 	更加	c=1 d=0.0217096 t=2431
gong ci 	宮詞	c=0 d=0.1 t=2420
gong li 	公立	c=1 d=0.000620491 t=2431
gong neng 	功能	c=1 d=1 t=2130
gong shi 	公式	c=6 d=0.158621 t=2431
gong si 	公司	c=3 d=0.0360888 t=2431
gong zuo 	工作	c=2 d=0.194976 t=2431
gou le 	夠了	c=1 d=0.0617291 t=2431
gu ji 	估計	c=2 d=0.719698 t=2431
gua duan 	掛斷	c=3 d=1.58986 t=2431
guai bu de 	怪不得	c=1 d=0.0555762 t=2431
guan 	管	c=1 d=0.000539429 t=2431
guan lian 	關聯	c=1 d=0.00386807 t=2431
guan liao 	官僚	c=2 d=0.0152732 t=2431
guan ren 	官人	c=1 d=0.00759701 t=2431
guan xi 	關係	c=1 d=1 t=2138
guan yu 	關於	c=4 d=0.703231 t=2431
guang 	光	c=1 d=0.062662 t=2431
guang bo 	廣播	c=1 d=0.104874 t=2431
guang gao 	廣告	c=2 d=1.57344 t=2431
gui dao 	軌道	c=1 d=0.0156076 t=2431
gui le 	跪了	c=1 d=0.008271 t=2431
guo 	過	c=2 d=0.341394 t=2431
guo de 	過得	c=1 d=1 t=2059
guo de gang 	郭德綱	c=1 d=1 t=1829
guo ji 	國際	c=0 d=0.000110822 t=2431
guo ji kong jian 	國際空間	c=1 d=0.00111378 t=2431
guo le 	過了	c=2 d=0.0478349 t=2431
guo nei 	國內	c=1 d=1 t=2093
guo qu 	過去	c=1 d=1 t=1911
guo ran 	果然	c=3 d=0.156205 t=2431
ha ha ha 	哈哈哈	c=14 d=1.82189 t=2431
hai 	還	c=5 d=0.345432 t=2431
hai bu e 	還不餓	c=1 d=1 t=1737
hai han 	海涵	c=2 d=0.0033213 t=2431
hai ke yi 	還可以	c=1 d=1 t=1728
hai mei you 	還沒有	c=2 d=0.273909 t=2431
hai shi 	還是	c=8 d=0.549541 t=2431
hai xu yao 	還需要	c=1 d=1 t=1523
hai yi wei 	還以爲	c=2 d=0.970475 t=2431
hai you 	還有	c=3 d=0.225551 t=2431
hai you ren 	還有人	c=1 d=0.0291588 t=2431
han shu 	函數	c=1 d=0.00388746 t=2431
hao 	好	c=7 d=0.493219 t=2431
hao ba 	好吧	c=2 d=0.270362 t=2431
hao bu hao 	好不好	c=2 d=1.61878 t=2060
hao chi 	好吃	c=2 d=1.02938 t=2431
hao da 	好大	c=1 d=1 t=2235
hao de 	好的	c=0 d=0.000511796 t=2431
hao de ne 	好的呢	c=2 d=0.0108282 t=2431
hao dian 	好點	c=0 d=0.1 t=2159
hao dian le 	好點了	c=1 d=1 t=2160
hao hao 	好好	c=1 d=0.00245409 t=2431
hao jiu 	好久	c=1 d=0.0544757 t=2431
hao kan 	好看	c=1 d=0.028527 t=2431
hao kuai 	好快	c=1 d=1 t=1623
hao la 	好啦	c=1 d=1 t=1607
hao me 	好麼	c=1 d=1 t=1583
hao ne 	好呢	c=10 d=1.34805 t=2431
hao qi dai 	好期待	c=1 d=0.603506 t=2431
hao wan 	好玩	c=0 d=0.0491644 t=2431
hao xia ren 	好嚇人	c=1 d=1 t=1783
hao xiang 	好像	c=2 d=1.27943 t=2214
hao ya 	好呀	c=3 d=0.0130827 t=2431
hao yi xie 	好一些	c=1 d=1 t=2017
he 	和	c=4 d=0.243173 t=2431
he cha 	喝茶	c=3 d=2.89319 t=1951
he dian 	喝點	c=2 d=1.91851 t=1978
he gu 	何故	c=1 d=1 t=1853
he jin 	合金	c=1 d=0.000880518 t=2431
hei bai 	黑白	c=1 d=0.0605068 t=2431
hei ren 	黑人	c=1 d=0.0141931 t=2431
hen 	很	c=6 d=0.394582 t=2431
hen bang 	很棒	c=1 d=0.847894 t=2431
